Items,group,Code_item,Son,Question,Answer1,Answer2,Audio1,Audio2
4,B,MAN-F4-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F4-Q-Preference.wav,你更想去哪儿旅行？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F4-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F4-A-Right.wav
4,C,MAN-F4-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F4-Q-Preference.wav,你更想去哪儿旅行？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F4-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F4-A-Right.wav
5,A,MAN-F5-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F5-Q-Preference.wav,晚饭你更想吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F5-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F5-A-Right.wav
5,B,MAN-F5-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F5-Q-Preference.wav,晚饭你更想吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F5-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F5-A-Right.wav
5,C,MAN-F5-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F5-Q-Preference.wav,晚饭你更想吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F5-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F5-A-Right.wav
6,A,MAN-F6-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F6-Q-Preference.wav,你更喜欢养什么宠物？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F6-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F6-A-Right.wav
6,B,MAN-F6-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F6-Q-Preference.wav,你更喜欢养什么宠物？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F6-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F6-A-Right.wav
6,C,MAN-F6-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F6-Q-Preference.wav,你更喜欢养什么宠物？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F6-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F6-A-Right.wav
7,A,MAN-F7-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F7-Q-Preference.wav,放假时你更喜欢怎么放松？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F7-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F7-A-Right.wav
7,B,MAN-F7-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F7-Q-Preference.wav,放假时你更喜欢怎么放松？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F7-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F7-A-Right.wav
7,C,MAN-F7-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F7-Q-Preference.wav,放假时你更喜欢怎么放松？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F7-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F7-A-Right.wav
8,A,MAN-F8-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F8-Q-Preference.wav,你更喜欢什么运动？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F8-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F8-A-Right.wav
8,B,MAN-F8-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F8-Q-Preference.wav,你更喜欢什么运动？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F8-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F8-A-Right.wav
8,C,MAN-F8-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F8-Q-Preference.wav,你更喜欢什么运动？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F8-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F8-A-Right.wav
9,A,MAN-F9-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F9-Q-Preference.wav,早餐你通常更喜欢吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F9-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F9-A-Right.wav
9,B,MAN-F9-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F9-Q-Preference.wav,早餐你通常更喜欢吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F9-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F9-A-Right.wav
9,C,MAN-F9-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F9-Q-Preference.wav,早餐你通常更喜欢吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F9-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F9-A-Right.wav
10,A,MAN-F10-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F10-Q-Preference.wav,你更喜欢在什么时候学习？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F10-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F10-A-Right.wav
10,B,MAN-F10-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F10-Q-Preference.wav,你更喜欢在什么时候学习？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F10-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F10-A-Right.wav
10,C,MAN-F10-Q-Preference,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F10-Q-Preference.wav,你更喜欢在什么时候学习？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F10-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F10-A-Right.wav
11,A,MAN-F11-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F11-Q-CommonKnowledge.wav,太阳从哪边升起？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F11-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F11-A-Right.wav
11,B,MAN-F11-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F11-Q-CommonKnowledge.wav,太阳从哪边升起？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F11-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F11-A-Right.wav
11,C,MAN-F11-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F11-Q-CommonKnowledge.wav,太阳从哪边升起？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F11-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F11-A-Right.wav
12,A,MAN-F12-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F12-Q-CommonKnowledge.wav,鱼通常生活在哪里？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F12-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F12-A-Right.wav
12,B,MAN-F12-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F12-Q-CommonKnowledge.wav,鱼通常生活在哪里？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F12-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F12-A-Right.wav
12,C,MAN-F12-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F12-Q-CommonKnowledge.wav,鱼通常生活在哪里？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F12-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F12-A-Right.wav
13,A,MAN-F13-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F13-Q-CommonKnowledge.wav,鸟一般用什么飞？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F13-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F13-A-Right.wav
13,B,MAN-F13-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F13-Q-CommonKnowledge.wav,鸟一般用什么飞？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F13-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F13-A-Right.wav
13,C,MAN-F13-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F13-Q-CommonKnowledge.wav,鸟一般用什么飞？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F13-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F13-A-Right.wav
14,A,MAN-F14-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F14-Q-CommonKnowledge.wav,冬天通常比夏天怎么样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F14-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F14-A-Right.wav
14,B,MAN-F14-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F14-Q-CommonKnowledge.wav,冬天通常比夏天怎么样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F14-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F14-A-Right.wav
14,C,MAN-F14-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F14-Q-CommonKnowledge.wav,冬天通常比夏天怎么样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F14-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F14-A-Right.wav
15,A,MAN-F15-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F15-Q-CommonKnowledge.wav,人一般用什么看东西？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F15-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F15-A-Right.wav
15,B,MAN-F15-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F15-Q-CommonKnowledge.wav,人一般用什么看东西？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F15-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F15-A-Right.wav
15,C,MAN-F15-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F15-Q-CommonKnowledge.wav,人一般用什么看东西？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F15-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F15-A-Right.wav
16,A,MAN-F16-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F16-Q-CommonKnowledge.wav,米饭通常是用什么做的？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F16-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F16-A-Right.wav
16,B,MAN-F16-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F16-Q-CommonKnowledge.wav,米饭通常是用什么做的？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F16-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F16-A-Right.wav
16,C,MAN-F16-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F16-Q-CommonKnowledge.wav,米饭通常是用什么做的？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F16-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F16-A-Right.wav
17,A,MAN-F17-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F17-Q-CommonKnowledge.wav,汽车一般在哪里开？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F17-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F17-A-Right.wav
17,B,MAN-F17-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F17-Q-CommonKnowledge.wav,汽车一般在哪里开？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F17-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F17-A-Right.wav
17,C,MAN-F17-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F17-Q-CommonKnowledge.wav,汽车一般在哪里开？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F17-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F17-A-Right.wav
18,A,MAN-F18-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F18-Q-CommonKnowledge.wav,下雨的时候，地面通常会怎样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F18-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F18-A-Right.wav
18,B,MAN-F18-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F18-Q-CommonKnowledge.wav,下雨的时候，地面通常会怎样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F18-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F18-A-Right.wav
18,C,MAN-F18-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F18-Q-CommonKnowledge.wav,下雨的时候，地面通常会怎样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F18-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F18-A-Right.wav
19,A,MAN-F19-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F19-Q-CommonKnowledge.wav,冰通常是什么温度？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F19-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F19-A-Right.wav
19,B,MAN-F19-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F19-Q-CommonKnowledge.wav,冰通常是什么温度？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F19-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F19-A-Right.wav
19,C,MAN-F19-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F19-Q-CommonKnowledge.wav,冰通常是什么温度？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F19-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F19-A-Right.wav
20,A,MAN-F20-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F20-Q-CommonKnowledge.wav,学生通常在哪里上课？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F20-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F20-A-Right.wav
20,B,MAN-F20-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F20-Q-CommonKnowledge.wav,学生通常在哪里上课？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F20-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F20-A-Right.wav
20,C,MAN-F20-Q-CommonKnowledge,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F20-Q-CommonKnowledge.wav,学生通常在哪里上课？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F20-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-F20-A-Right.wav
